state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Hawaii ,2012,137151.000,0.083,0.395,0.435,0.087,952281.000,0.043,0.053,0.283,0.220,0.100,0.196,0.105,199308.000,0.944,0.293,175142.000,0.932,0.318,367408.000,0.921,0.321,210423.000,0.812,0.258,36030.000,21673.000,29797.000,34077.000,44847.000,60084.000
Idaho ,2012,158190.000,0.141,0.331,0.462,0.067,1012786.000,0.041,0.061,0.277,0.276,0.090,0.173,0.082,210429.000,0.908,0.244,196439.000,0.907,0.272,394886.000,0.910,0.263,211032.000,0.856,0.234,29142.000,20534.000,22708.000,27033.000,38563.000,59350.000
Illinois ,2012,1253309.000,0.141,0.274,0.466,0.119,8558895.000,0.056,0.068,0.270,0.214,0.076,0.197,0.120,1782088.000,0.903,0.383,1699779.000,0.889,0.362,3381316.000,0.893,0.309,1695712.000,0.801,0.215,36888.000,20616.000,27219.000,34384.000,50919.000,66698.000
Indiana ,2012,668970.000,0.179,0.295,0.442,0.084,4278945.000,0.040,0.084,0.353,0.207,0.081,0.150,0.084,831240.000,0.886,0.284,822480.000,0.893,0.270,1735799.000,0.895,0.225,889426.000,0.812,0.173,32150.000,19425.000,27577.000,31354.000,43844.000,58506.000
Iowa ,2012,314527.000,0.115,0.260,0.522,0.104,2036993.000,0.032,0.052,0.323,0.219,0.111,0.181,0.082,389631.000,0.932,0.329,360444.000,0.928,0.325,817300.000,0.934,0.250,469618.000,0.861,0.184,34257.000,21889.000,28013.000,32198.000,44862.000,59587.000
Kansas ,2012,301404.000,0.139,0.280,0.501,0.081,1863224.000,0.037,0.061,0.273,0.244,0.080,0.195,0.109,383049.000,0.898,0.331,345040.000,0.906,0.344,740911.000,0.919,0.310,394224.000,0.871,0.232,33443.000,21582.000,26408.000,31134.000,42863.000,56650.000
Kentucky ,2012,426975.000,0.144,0.352,0.433,0.072,2935461.000,0.070,0.093,0.341,0.207,0.072,0.129,0.089,561750.000,0.894,0.257,567749.000,0.884,0.256,1192336.000,0.858,0.214,613626.000,0.702,0.154,31263.000,18551.000,25738.000,30555.000,42404.000,52346.000
Louisiana ,2012,476164.000,0.199,0.312,0.414,0.075,3006605.000,0.060,0.110,0.343,0.215,0.053,0.144,0.075,644935.000,0.845,0.251,565163.000,0.867,0.245,1198757.000,0.849,0.211,597750.000,0.741,0.180,31951.000,18668.000,27227.000,30616.000,46018.000,54659.000
Maine ,2012,116188.000,0.115,0.317,0.473,0.095,947017.000,0.030,0.055,0.348,0.198,0.091,0.181,0.098,147351.000,0.939,0.281,161719.000,0.942,0.286,411974.000,0.937,0.288,225973.000,0.844,0.258,31606.000,20932.000,26658.000,30396.000,40466.000,51072.000
Maryland ,2012,569493.000,0.123,0.290,0.465,0.123,3972135.000,0.044,0.066,0.261,0.198,0.063,0.200,0.169,801626.000,0.902,0.399,775962.000,0.909,0.416,1631866.000,0.910,0.366,762681.000,0.818,0.297,45569.000,23310.000,32796.000,40593.000,57885.000,80457.000
Massachusetts ,2012,688280.000,0.110,0.280,0.463,0.148,4556609.000,0.047,0.057,0.259,0.168,0.076,0.222,0.171,886716.000,0.927,0.484,856995.000,0.923,0.447,1851867.000,0.911,0.384,961031.000,0.816,0.277,42570.000,22342.000,31656.000,37587.000,54676.000,71345.000
Michigan ,2012,994719.000,0.140,0.278,0.499,0.084,6621018.000,0.032,0.076,0.306,0.239,0.087,0.160,0.100,1172289.000,0.898,0.292,1225386.000,0.912,0.309,2780720.000,0.915,0.256,1442623.000,0.825,0.202,32335.000,17366.000,25128.000,30784.000,46688.000,65045.000
Minnesota ,2012,500595.000,0.128,0.254,0.500,0.118,3600744.000,0.031,0.044,0.264,0.223,0.106,0.224,0.108,737436.000,0.931,0.385,671226.000,0.934,0.392,1462172.000,0.948,0.324,729910.000,0.864,0.239,38143.000,20910.000,29086.000,35339.000,50065.000,65002.000
Mississippi ,2012,325289.000,0.179,0.293,0.477,0.051,1911968.000,0.057,0.120,0.306,0.227,0.084,0.130,0.076,374529.000,0.853,0.219,375050.000,0.878,0.232,759665.000,0.836,0.203,402724.000,0.721,0.178,29366.000,17460.000,24153.000,27602.000,40669.000,51731.000
Missouri ,2012,594641.000,0.138,0.301,0.476,0.085,4023641.000,0.039,0.081,0.316,0.228,0.071,0.167,0.097,790238.000,0.904,0.315,731535.000,0.898,0.307,1617543.000,0.897,0.261,884325.000,0.809,0.188,31664.000,17590.000,26157.000,30532.000,42019.000,53564.000
Montana ,2012,98231.000,0.163,0.303,0.462,0.072,686770.000,0.020,0.052,0.297,0.253,0.084,0.202,0.092,123950.000,0.928,0.322,114594.000,0.941,0.320,289641.000,0.947,0.290,158585.000,0.885,0.260,29895.000,18022.000,24383.000,27232.000,35804.000,51802.000
Nebraska ,2012,185815.000,0.125,0.249,0.517,0.109,1206908.000,0.040,0.055,0.277,0.241,0.098,0.193,0.097,249263.000,0.902,0.337,222995.000,0.903,0.352,477678.000,0.924,0.289,256972.000,0.874,0.192,33510.000,21479.000,27040.000,31594.000,41949.000,56792.000
Nevada ,2012,253867.000,0.211,0.326,0.404,0.059,1840642.000,0.060,0.091,0.288,0.262,0.075,0.148,0.075,394004.000,0.848,0.224,380539.000,0.835,0.222,706613.000,0.864,0.221,359486.000,0.835,0.231,32200.000,22639.000,27508.000,33388.000,45130.000,61539.000
New Hampshire ,2012,125813.000,0.104,0.299,0.492,0.106,919883.000,0.024,0.058,0.294,0.184,0.095,0.219,0.126,148055.000,0.929,0.384,168883.000,0.942,0.376,408848.000,0.931,0.351,194097.000,0.862,0.277,40134.000,24932.000,31901.000,36825.000,50525.000,63320.000
New Jersey ,2012,788500.000,0.123,0.287,0.455,0.134,6049352.000,0.053,0.064,0.287,0.171,0.062,0.225,0.138,1128566.000,0.907,0.421,1198565.000,0.904,0.421,2471907.000,0.905,0.361,1250314.000,0.796,0.256,44731.000,21560.000,31989.000,40288.000,59550.000,81057.000
New Mexico ,2012,209360.000,0.214,0.279,0.459,0.048,1360330.000,0.069,0.087,0.265,0.236,0.082,0.149,0.112,274879.000,0.853,0.215,248118.000,0.862,0.266,543075.000,0.863,0.278,294258.000,0.787,0.269,30871.000,17091.000,25349.000,28525.000,41585.000,56681.000
New York ,2012,1999490.000,0.130,0.250,0.474,0.146,13309761.000,0.067,0.080,0.269,0.165,0.085,0.190,0.144,2755074.000,0.886,0.421,2537255.000,0.871,0.371,5257971.000,0.869,0.317,2759461.000,0.774,0.245,39697.000,19401.000,29549.000,36511.000,52278.000,69397.000
North Carolina ,2012,978188.000,0.168,0.286,0.461,0.085,6489883.000,0.058,0.091,0.271,0.220,0.087,0.180,0.093,1252143.000,0.864,0.305,1330471.000,0.868,0.304,2560569.000,0.879,0.273,1346700.000,0.772,0.216,31390.000,17431.000,25368.000,30227.000,43806.000,56312.000
North Dakota ,2012,87626.000,0.088,0.268,0.559,0.085,457904.000,0.040,0.043,0.280,0.235,0.123,0.196,0.084,98752.000,0.956,0.353,77584.000,0.961,0.362,180606.000,0.948,0.268,100962.000,0.790,0.164,36648.000,23153.000,30353.000,35458.000,41521.000,60357.000
Ohio ,2012,1113584.000,0.147,0.301,0.463,0.090,7770716.000,0.031,0.081,0.346,0.209,0.081,0.160,0.093,1430201.000,0.905,0.307,1429099.000,0.921,0.296,3203848.000,0.907,0.248,1707568.000,0.809,0.179,33168.000,19605.000,27117.000,31641.000,47124.000,61470.000
Oklahoma ,2012,391080.000,0.162,0.326,0.440,0.073,2487456.000,0.046,0.088,0.316,0.240,0.073,0.158,0.079,516852.000,0.880,0.254,467408.000,0.876,0.253,967189.000,0.886,0.243,536007.000,0.812,0.199,31454.000,19664.000,26335.000,30944.000,41627.000,51552.000
Oregon ,2012,366835.000,0.125,0.301,0.495,0.078,2671772.000,0.037,0.064,0.251,0.267,0.082,0.186,0.113,532957.000,0.894,0.310,505210.000,0.893,0.348,1051912.000,0.913,0.289,581693.000,0.882,0.265,31808.000,18435.000,26698.000,29948.000,42384.000,56583.000
Pennsylvania ,2012,1269765.000,0.128,0.323,0.434,0.115,8756317.000,0.036,0.075,0.368,0.165,0.079,0.170,0.109,1572037.000,0.916,0.362,1554970.000,0.920,0.330,3587380.000,0.914,0.269,2041930.000,0.802,0.190,35909.000,20835.000,28483.000,33238.000,48200.000,64775.000
Rhode Island ,2012,121059.000,0.115,0.277,0.490,0.118,712271.000,0.064,0.075,0.279,0.181,0.088,0.187,0.128,128901.000,0.903,0.346,129835.000,0.894,0.374,294710.000,0.883,0.310,158825.000,0.761,0.246,37479.000,22339.000,29099.000,35428.000,52221.000,66004.000
South Carolina ,2012,491131.000,0.161,0.311,0.454,0.074,3151616.000,0.052,0.100,0.298,0.211,0.089,0.160,0.091,599125.000,0.873,0.270,600579.000,0.884,0.276,1257136.000,0.868,0.249,694776.000,0.762,0.217,31197.000,17360.000,25309.000,30693.000,43103.000,51875.000
South Dakota ,2012,84840.000,0.159,0.277,0.488,0.077,544292.000,0.043,0.052,0.327,0.217,0.099,0.181,0.081,110630.000,0.924,0.292,93882.000,0.928,0.309,218688.000,0.935,0.261,121092.000,0.817,0.202,31526.000,21369.000,26924.000,31261.000,38959.000,48323.000
Tennessee ,2012,625553.000,0.126,0.352,0.435,0.087,4336473.000,0.057,0.091,0.331,0.213,0.065,0.157,0.086,843449.000,0.888,0.283,848687.000,0.890,0.279,1723616.000,0.871,0.238,920721.000,0.746,0.181,31292.000,17721.000,25542.000,30710.000,42459.000,54741.000
Texas ,2012,2687649.000,0.178,0.301,0.446,0.075,16390379.000,0.092,0.094,0.252,0.229,0.066,0.177,0.090,3751515.000,0.845,0.268,3559090.000,0.817,0.286,6242052.000,0.820,0.272,2837722.000,0.758,0.233,33528.000,18998.000,26576.000,33133.000,50613.000,64294.000
Utah ,2012,326764.000,0.127,0.289,0.513,0.071,1641335.000,0.030,0.060,0.231,0.275,0.097,0.203,0.104,445114.000,0.915,0.301,356774.000,0.901,0.330,567565.000,0.917,0.303,271882.000,0.900,0.298,33915.000,20895.000,27917.000,30803.000,42334.000,61972.000
Vermont ,2012,67174.000,0.100,0.259,0.537,0.104,434948.000,0.029,0.054,0.305,0.164,0.090,0.219,0.139,70300.000,0.921,0.358,73424.000,0.950,0.411,192735.000,0.936,0.366,98489.000,0.850,0.301,34275.000,20928.000,28529.000,33011.000,40646.000,51410.000
Virginia ,2012,826469.000,0.115,0.309,0.464,0.113,5504766.000,0.050,0.071,0.253,0.200,0.072,0.206,0.149,1138612.000,0.918,0.391,1103601.000,0.908,0.400,2200420.000,0.890,0.353,1062133.000,0.783,0.271,40098.000,20503.000,27973.000,35960.000,52607.000,76169.000
Washington ,2012,666124.000,0.157,0.300,0.445,0.098,4645859.000,0.040,0.056,0.237,0.254,0.096,0.203,0.113,970606.000,0.903,0.317,915538.000,0.899,0.340,1852097.000,0.919,0.317,907618.000,0.879,0.292,37759.000,20998.000,30418.000,35563.000,51658.000,66796.000
West Virginia ,2012,174992.000,0.137,0.358,0.427,0.078,1296201.000,0.056,0.099,0.406,0.190,0.063,0.114,0.073,218051.000,0.901,0.241,230967.000,0.891,0.214,536079.000,0.864,0.185,311104.000,0.739,0.131,30980.000,18605.000,26175.000,29723.000,40133.000,52912.000
Wisconsin ,2012,555478.000,0.126,0.302,0.477,0.096,3854170.000,0.033,0.059,0.324,0.212,0.100,0.179,0.093,734480.000,0.920,0.317,698135.000,0.927,0.324,1597525.000,0.929,0.269,824030.000,0.838,0.192,35036.000,20282.000,28560.000,32206.000,46204.000,60619.000
Wyoming ,2012,58860.000,0.151,0.307,0.481,0.062,380942.000,0.023,0.060,0.304,0.266,0.100,0.169,0.078,80079.000,0.926,0.234,68921.000,0.927,0.264,156892.000,0.936,0.266,75050.000,0.859,0.207,35739.000,22244.000,31693.000,32369.000,41869.000,60222.000
