Label (Grouping),AGE BY EDUCATIONAL ATTAINMENT,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,    White alone,        High school graduate or higher,        Bachelor's degree or higher,"White alone, not Hispanic or Latino",    High school graduate or higher,    Bachelor's degree or higher,Black alone,    High school graduate or higher,    Bachelor's degree or higher,American Indian or Alaska Native alone,    High school graduate or higher,    Bachelor's degree or higher,Asian alone,    High school graduate or higher,    Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,    High school graduate or higher,    Bachelor's degree or higher,Some other race alone,    High school graduate or higher,    Bachelor's degree or higher,Two or more races,    High school graduate or higher,    Bachelor's degree or higher,Hispanic or Latino Origin,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Georgia Total Estimate,,"1,014,366","164,569","331,738","424,386","93,673","6,785,395","334,607","588,019","1,884,080","1,394,205","518,208","1,270,275","796,001",(X),(X),"1,403,742","1,233,324","442,513","1,385,447","1,204,041","471,539","2,637,072","2,319,460","814,124","1,359,134","1,105,944","338,100",,"4,196,094","3,684,128","1,379,614","3,895,137","3,498,190","1,320,630","2,034,955","1,752,500","476,552","23,396","15,584","3,385","271,011","235,221","156,417","4,492","3,838",902,"158,463","85,947","17,195","96,984","85,551","32,211","499,428","298,918","83,977",,(X),(X),(X),(X),,"36,223","21,274","27,706","32,448","50,962","62,819"
Hawaii Total Estimate,,"129,855","9,438","53,587","54,166","12,664","990,937","36,083","43,580","277,743","212,677","104,261","211,850","104,743",(X),(X),"205,844","196,210","63,191","179,339","171,214","63,807","362,213","335,985","117,636","243,541","207,865","71,959",,"268,335","258,852","113,939","244,160","236,519","109,334","16,842","16,049","4,151","1,881","1,789",595,"426,716","380,604","145,967","89,184","77,932","11,202","7,866","6,589","1,118","180,113","169,459","39,621","73,497","66,871","12,221",,(X),(X),(X),(X),,"40,281","23,401","31,361","38,200","49,440","64,283"
Idaho Total Estimate,,"159,418","19,133","57,516","73,031","9,738","1,087,265","34,434","69,695","302,866","275,485","104,375","203,363","97,047",(X),(X),"220,555","201,118","58,072","205,831","184,837","67,545","404,717","369,142","108,240","256,162","228,039","66,553",,"1,000,599","917,204","282,929","938,873","875,161","276,206","5,078","4,986","1,526","15,720","13,300","2,426","15,651","13,965","6,620",N,N,N,"30,597","16,416","1,379","18,274","15,995","5,367","99,188","63,566","9,061",,(X),(X),(X),(X),,"32,340","23,004","27,114","31,468","41,343","60,084"
Illinois Total Estimate,,"1,213,601","145,713","349,801","550,135","167,952","8,665,219","429,910","536,517","2,250,392","1,823,126","682,989","1,813,840","1,128,445",(X),(X),"1,765,751","1,626,673","735,457","1,654,483","1,484,470","638,104","3,372,155","3,016,494","1,093,507","1,872,830","1,571,155","475,217",,"6,421,241","5,864,259","2,283,604","5,724,521","5,369,059","2,164,500","1,154,328","995,224","249,798","21,134","16,188","4,106","478,425","434,158","311,468","3,221","2,569",879,"460,711","272,905","45,083","126,159","113,489","47,347","1,205,051","806,186","174,707",,(X),(X),(X),(X),,"40,743","22,282","30,526","36,054","55,161","70,924"
Indiana Total Estimate,,"662,944","105,641","203,163","289,103","65,037","4,392,576","164,742","346,757","1,481,882","900,213","374,136","716,293","408,553",(X),(X),"857,485","763,161","262,302","813,214","723,818","241,274","1,728,538","1,556,093","424,585","993,339","838,005","196,685",,"3,788,926","3,387,773","999,008","3,656,504","3,296,102","978,524","370,196","316,669","58,300","13,260","10,940","2,371","83,957","69,290","44,927",N,N,N,"83,545","50,546","8,526","50,495","43,852","11,364","224,064","149,640","29,741",,(X),(X),(X),(X),,"36,168","22,415","30,846","33,681","48,790","60,620"
Iowa Total Estimate,,"320,706","35,865","87,694","162,607","34,540","2,087,020","66,242","105,856","649,532","438,173","234,055","398,242","194,920",(X),(X),"395,052","365,596","136,461","369,788","341,274","130,451","808,438","749,009","214,844","513,742","459,043","111,406",,"1,933,496","1,793,989","547,381","1,873,486","1,755,784","539,626","59,550","49,027","11,831","6,651","5,517","1,679","44,570","36,895","23,457","1,952","1,456",243,"22,742","11,902","2,630","18,059","16,136","5,941","85,565","52,108","10,638",,(X),(X),(X),(X),,"37,747","26,151","31,515","35,749","48,207","64,417"
Kansas Total Estimate,,"300,434","37,611","86,112","145,690","31,021","1,891,936","68,491","110,352","496,294","438,343","157,030","390,861","230,565",(X),(X),"377,168","344,310","134,341","353,348","316,496","127,457","723,749","659,436","241,325","437,671","392,851","118,303",,"1,650,245","1,513,171","557,111","1,532,396","1,438,021","539,522","102,119","89,977","20,853","13,981","11,734","2,508","50,988","43,077","25,901",N,N,N,"40,054","24,222","4,439","32,593","28,985","9,834","163,361","103,820","22,754",,(X),(X),(X),(X),,"36,897","23,425","28,685","32,765","46,772","57,533"
Kentucky Total Estimate,,"429,008","57,422","144,325","190,127","37,134","2,995,509","170,725","257,735","968,299","640,040","256,369","419,081","283,260",(X),(X),"564,723","508,070","154,395","556,258","501,328","156,247","1,187,003","1,021,558","263,403","687,525","536,093","128,296",,"2,674,479","2,298,587","638,190","2,626,648","2,264,826","626,887","223,064","190,429","32,442","8,520","7,072",972,"39,780","34,162","20,564",N,N,N,"21,094","11,519","2,903","27,423","24,240","6,811","72,292","48,900","14,929",,(X),(X),(X),(X),,"35,057","20,974","28,372","32,301","47,610","56,285"
Louisiana Total Estimate,,"449,365","78,458","159,445","178,185","33,277","3,115,020","160,929","325,509","1,059,273","654,115","187,288","473,299","254,607",(X),(X),"671,108","575,726","176,919","583,366","505,826","147,943","1,186,367","1,009,910","260,302","674,179","537,120","142,742",,"2,037,772","1,788,681","554,107","1,950,539","1,720,971","536,219","930,771","729,113","137,417","16,132","11,462","1,427","53,602","43,251","23,125",N,N,N,"40,816","25,349","3,433","35,295","30,371","8,318","136,193","98,749","22,421",,(X),(X),(X),(X),,"35,035","20,766","27,996","32,309","46,163","57,210"
Maine Total Estimate,,"109,959","12,784","35,260","49,887","12,028","966,569","25,640","48,498","318,369","187,940","94,984","181,434","109,704",(X),(X),"157,452","148,982","53,600","151,647","144,190","51,566","400,818","373,289","113,736","256,652","225,970","72,236",,"926,882","858,185","280,657","919,544","851,880","278,469","8,256","6,565","1,600","5,069","4,472",446,"12,254","10,655","5,163",N,N,N,"1,558","1,492",605,"12,336","10,861","2,667","11,366","10,105","3,149",,(X),(X),(X),(X),,"35,585","19,634","27,934","33,302","43,559","56,855"
Maryland Total Estimate,,"547,787","63,879","161,256","244,984","77,668","4,122,508","166,606","240,623","1,046,470","779,195","268,485","860,491","760,638",(X),(X),"832,284","762,848","345,164","765,502","693,129","343,257","1,648,274","1,505,082","634,753","876,448","754,220","297,955",,"2,436,346","2,241,241","1,047,742","2,262,748","2,115,234","1,000,349","1,191,325","1,076,324","351,846","10,474","8,290","2,753","268,482","243,136","167,890",N,N,N,"135,656","73,245","17,185","78,290","71,340","33,109","329,396","213,662","69,000",,(X),(X),(X),(X),,"48,147","26,170","32,982","41,813","61,049","82,479"
Massachusetts Total Estimate,,"705,317","77,062","190,893","313,223","124,139","4,727,515","212,315","240,370","1,156,496","734,632","363,356","1,124,295","896,051",(X),(X),"950,957","883,574","488,184","826,713","763,260","406,819","1,875,420","1,712,418","759,372","1,074,425","915,578","365,971",,"3,842,201","3,555,656","1,714,049","3,608,559","3,388,337","1,661,268","316,115","268,826","78,968","8,700","7,104","1,957","294,451","250,531","174,202",N,N,N,"169,839","116,951","21,006","93,924","73,684","29,192","430,798","298,422","77,358",,(X),(X),(X),(X),,"48,220","25,717","35,003","40,706","60,503","76,972"
Michigan Total Estimate,,"976,715","130,791","285,514","464,734","95,676","6,760,402","203,405","444,504","1,978,343","1,598,192","626,128","1,162,737","747,093",(X),(X),"1,248,301","1,141,809","396,866","1,158,269","1,060,314","384,182","2,744,767","2,512,412","743,747","1,609,065","1,397,958","385,035",,"5,489,471","5,036,012","1,599,701","5,329,047","4,915,882","1,568,769","861,144","733,954","146,495","34,336","28,623","3,857","189,523","167,566","119,409","2,157","1,560",252,"66,028","41,793","9,635","117,743","102,985","30,481","247,726","177,853","43,419",,(X),(X),(X),(X),,"36,209","20,512","27,202","32,435","50,821","68,906"
Minnesota Total Estimate,,"506,046","60,040","137,660","240,401","67,945","3,725,283","111,658","152,230","937,937","796,712","429,762","860,125","436,859",(X),(X),"744,809","697,952","298,857","680,392","631,719","277,380","1,469,747","1,385,242","492,298","830,335","746,482","228,449",,"3,242,452","3,081,604","1,166,067","3,166,229","3,028,957","1,151,531","180,040","147,200","37,340","35,161","29,808","4,925","154,563","121,596","64,444",N,N,N,"59,433","32,399","6,806","52,638","47,939","17,071","141,538","88,579","21,478",,(X),(X),(X),(X),,"41,757","23,823","31,535","38,355","54,749","70,728"
Mississippi Total Estimate,,"308,551","46,877","94,095","150,957","16,622","1,957,022","94,724","216,010","603,335","438,995","177,695","264,865","161,398",(X),(X),"378,612","333,009","86,903","374,600","328,858","90,913","754,176","636,867","157,185","449,634","347,554","91,262",,"1,215,141","1,061,864","308,121","1,191,441","1,044,851","304,066","686,306","543,470","104,422","6,936","5,179",926,"18,529","15,692","7,993",N,N,N,"16,659","9,384","1,689","12,921","10,233","2,837","41,837","27,042","5,373",,(X),(X),(X),(X),,"31,731","20,057","26,693","30,838","42,130","51,943"
Missouri Total Estimate,,"581,922","78,214","179,241","267,410","57,057","4,121,014","137,315","292,624","1,265,386","927,795","325,244","729,511","443,139",(X),(X),"799,577","736,783","269,437","737,255","669,974","246,047","1,607,203","1,451,630","435,418","976,979","832,688","221,748",,"3,493,148","3,155,750","1,023,552","3,410,565","3,093,726","1,005,793","437,911","378,960","79,951","18,485","14,748","3,418","77,588","67,630","45,751","4,692","2,805",879,"33,435","22,527","5,272","55,755","48,655","13,827","122,482","89,047","23,805",,(X),(X),(X),(X),,"35,908","21,505","29,902","32,334","45,701","57,229"
Montana Total Estimate,,"101,230","11,207","35,947","45,550","8,526","712,616","13,453","37,785","206,415","168,223","66,134","148,944","71,662",(X),(X),"126,836","117,221","40,657","120,268","113,483","42,083","281,631","264,042","84,519","183,881","166,632","53,347",,"652,363","608,971","207,143","639,560","598,463","204,175","2,967","2,241",780,"34,821","29,588","5,201","5,326","5,093","2,993",N,N,N,"1,966","1,542",557,"14,677","13,485","3,677","18,098","14,946","4,354",,(X),(X),(X),(X),,"32,091","18,782","26,475","30,816","39,650","52,319"
Nebraska Total Estimate,,"189,211","19,623","54,416","96,079","19,093","1,243,820","51,410","61,935","328,348","281,360","129,795","261,931","129,041",(X),(X),"255,384","231,114","95,456","233,281","210,722","87,263","469,865","431,365","137,109","285,290","257,274","71,144",,"1,124,773","1,038,013","361,383","1,048,188","995,023","352,431","50,875","43,960","11,840","8,453","6,933","1,265","23,787","17,568","10,091",N,N,N,"19,454","9,657","1,425","15,954","13,820","4,968","98,476","54,705","10,661",,(X),(X),(X),(X),,"37,002","25,292","30,482","35,209","46,260","61,459"
Nevada Total Estimate,,"251,946","42,936","92,228","103,246","13,536","2,010,610","122,892","157,641","585,057","516,903","156,342","308,547","163,228",(X),(X),"424,305","370,239","96,304","390,373","328,482","91,028","754,171","647,619","171,886","441,761","383,737","112,557",,"1,408,273","1,236,481","342,509","1,129,799","1,055,185","312,974","166,410","150,825","30,779","21,522","18,753","2,173","185,203","167,047","69,538","11,123","10,362","1,508","157,870","92,523","11,478","60,209","54,086","13,790","460,183","292,111","44,071",,(X),(X),(X),(X),,"35,156","25,444","30,968","35,351","46,908","62,224"
New Hampshire Total Estimate,,"127,368","13,260","40,329","53,987","19,792","947,586","20,623","47,275","256,245","179,277","97,488","213,461","133,217",(X),(X),"160,594","150,880","66,824","152,488","143,462","61,452","407,572","382,814","142,746","226,932","202,532","75,656",,"896,354","834,186","325,498","876,857","819,493","320,062","10,823","9,603","3,183",N,N,N,"21,475","19,343","11,773",N,N,N,"4,959","4,052","1,858","12,732","11,430","4,183","25,368","19,323","7,395",,(X),(X),(X),(X),,"41,776","27,896","32,290","39,245","51,823","67,970"
New Jersey Total Estimate,,"788,858","89,644","225,405","345,013","128,796","6,171,172","317,182","343,494","1,706,073","1,024,289","400,332","1,460,518","919,284",(X),(X),"1,157,062","1,072,646","514,631","1,151,388","1,046,157","509,349","2,490,567","2,252,336","949,364","1,372,155","1,139,357","406,458",,"4,344,913","3,936,904","1,705,797","3,649,289","3,421,439","1,570,198","786,869","694,065","184,544","13,294","9,779","2,556","599,087","556,887","412,934",N,N,N,"324,085","223,733","37,366","100,429","87,019","35,854","1,079,365","786,528","186,851",,(X),(X),(X),(X),,"47,461","22,319","31,941","41,074","62,300","87,104"
New Mexico Total Estimate,,"200,120","34,213","60,024","93,386","12,497","1,391,381","84,515","118,426","370,508","323,025","116,674","215,691","162,542",(X),(X),"276,979","243,382","65,564","249,353","211,365","64,724","522,988","452,321","144,784","342,061","281,372","103,161",,"1,057,238","921,822","319,699","616,225","583,993","247,966","25,485","23,491","7,293","117,341","94,771","13,199","23,167","20,995","11,611",N,N,N,"134,886","96,989","15,963","32,229","29,477","10,468","598,277","454,346","92,318",,(X),(X),(X),(X),,"31,524","18,979","25,622","30,487","42,021","56,325"
New York Total Estimate,,"1,912,311","224,093","502,339","875,108","310,771","13,653,592","865,976","1,002,316","3,574,814","2,150,858","1,191,816","2,749,619","2,118,193",(X),(X),"2,886,788","2,606,044","1,284,441","2,460,284","2,155,472","999,010","5,275,739","4,595,980","1,734,365","3,030,781","2,427,804","849,996",,"9,009,259","8,174,297","3,586,178","8,003,987","7,447,577","3,366,718","2,045,692","1,708,101","481,517","47,709","35,028","7,670","1,188,298","935,891","548,388","6,144","4,851","2,053","1,077,678","701,937","145,885","278,812","225,195","96,121","2,299,307","1,584,888","416,988",,(X),(X),(X),(X),,"41,610","21,133","30,742","37,005","56,868","73,504"
North Carolina Total Estimate,,"972,709","135,878","309,990","426,946","99,895","6,877,185","319,570","553,627","1,775,886","1,482,131","654,866","1,345,615","745,490",(X),(X),"1,321,286","1,184,050","434,047","1,304,270","1,144,478","459,456","2,683,038","2,386,081","810,238","1,568,591","1,289,379","387,364",,"4,954,652","4,423,203","1,645,869","4,675,664","4,252,791","1,596,092","1,407,993","1,191,979","286,009","78,002","59,024","10,817","181,455","157,867","103,674","3,716","3,159",431,"154,534","82,705","15,310","96,833","86,051","28,995","461,251","274,460","68,239",,(X),(X),(X),(X),,"35,160","20,664","26,922","31,666","47,143","60,374"
North Dakota Total Estimate,,"88,343","6,189","27,642","43,690","10,822","495,015","13,827","23,917","134,178","109,216","67,554","107,578","38,745",(X),(X),"116,058","110,433","42,227","86,296","80,944","31,095","182,810","172,488","49,475","109,851","93,406","23,526",,"444,563","415,286","136,728","436,670","408,927","135,425","10,632","9,632","1,024","22,675","17,968","3,804","4,905","3,909","2,291",N,N,N,"2,812","1,482",351,"9,269","8,928","2,125","12,173","9,222","1,868",,(X),(X),(X),(X),,"40,683","29,430","32,689","39,346","46,865","61,079"
Ohio Total Estimate,,"1,083,341","148,155","366,241","459,867","109,078","7,922,061","222,209","568,107","2,639,028","1,630,529","682,507","1,362,205","817,476",(X),(X),"1,500,872","1,376,749","489,950","1,380,616","1,262,049","452,619","3,155,659","2,889,112","832,532","1,884,914","1,603,835","404,580",,"6,674,927","6,068,471","1,900,636","6,537,930","5,963,698","1,869,253","900,291","769,747","145,990","12,592","10,331","2,821","160,629","141,199","95,125","2,195","1,951",811,"60,380","42,074","7,757","111,047","97,972","26,541","214,826","160,482","42,311",,(X),(X),(X),(X),,"36,819","20,969","30,230","33,825","50,830","65,773"
Oklahoma Total Estimate,,"389,969","62,371","136,011","165,572","26,015","2,571,636","103,252","209,774","802,529","603,826","203,590","432,922","215,743",(X),(X),"536,769","478,560","143,589","477,591","417,940","129,726","968,984","860,673","243,095","588,292","501,437","132,255",,"1,975,808","1,760,777","527,268","1,857,205","1,687,542","511,271","173,789","153,379","33,442","171,138","145,621","29,807","50,989","43,311","22,288","3,867","3,286",450,"56,550","31,273","3,943","139,495","120,963","31,467","190,584","116,553","21,949",,(X),(X),(X),(X),,"34,558","21,968","28,144","33,012","44,977","57,433"
Oregon Total Estimate,,"367,267","46,586","113,029","170,878","36,774","2,857,952","106,021","171,461","655,893","745,532","244,515","572,508","362,022",(X),(X),"573,033","524,906","200,006","533,772","476,280","192,674","1,062,259","957,604","333,881","688,888","621,680","207,969",,"2,488,068","2,280,738","824,579","2,318,767","2,172,370","799,488","49,212","42,669","10,618","29,349","24,603","4,340","119,827","102,457","60,912","8,401","7,380","1,420","68,488","39,948","7,943","94,607","82,675","24,718","264,005","166,142","36,454",,(X),(X),(X),(X),,"35,945","22,194","29,816","32,004","46,942","63,868"
Pennsylvania Total Estimate,,"1,187,407","143,157","400,098","499,538","144,614","8,921,975","289,165","591,181","3,132,444","1,431,231","730,217","1,676,971","1,070,766",(X),(X),"1,674,043","1,548,766","652,368","1,481,365","1,363,048","557,151","3,544,806","3,244,923","1,032,699","2,221,761","1,884,892","505,519",,"7,468,949","6,832,940","2,366,346","7,197,043","6,636,695","2,315,396","886,334","758,472","172,867","15,118","10,219","2,075","281,606","233,861","155,628","2,633","2,129",684,"143,367","94,977","13,660","123,968","109,031","36,477","472,845","332,475","73,225",,(X),(X),(X),(X),,"39,615","22,805","30,508","35,886","51,199","69,691"
Rhode Island Total Estimate,,"113,741","12,621","33,953","51,674","15,493","734,045","38,405","45,778","204,045","135,369","60,183","151,195","99,070",(X),(X),"142,792","135,049","58,008","123,033","111,392","46,769","294,165","263,149","95,322","174,055","140,272","50,166",,"617,580","556,506","221,339","572,510","521,988","214,972","41,620","35,404","8,687",N,N,N,"22,693","20,628","11,344",N,N,N,"34,021","22,269","4,269","13,890","11,522","3,802","84,781","61,152","11,217",,(X),(X),(X),(X),,"41,590","25,603","32,759","37,040","52,045","71,414"
South Carolina Total Estimate,,"472,679","64,084","155,741","210,157","42,697","3,388,476","148,917","304,737","981,669","713,098","317,549","591,086","331,420",(X),(X),"646,998","571,848","187,507","611,528","530,873","182,579","1,299,803","1,150,437","341,942","830,147","681,664","210,478",,"2,387,052","2,124,628","748,533","2,292,473","2,067,236","734,380","860,249","699,395","134,989","9,917","8,054","1,434","53,050","46,266","23,549",N,N,N,"39,514","23,982","5,665","37,118","30,988","7,963","140,423","85,572","19,981",,(X),(X),(X),(X),,"33,255","20,566","27,031","31,621","46,083","55,218"
South Dakota Total Estimate,,"85,659","12,127","24,915","40,256","8,361","565,894","18,275","31,736","163,910","123,619","65,093","111,002","52,259",(X),(X),"111,536","100,997","38,207","98,662","91,697","30,817","218,127","202,977","60,280","137,569","120,212","33,957",,"501,633","468,153","153,707","492,869","461,606","152,067","7,354","5,250","1,238","39,395","29,981","4,158","7,145","5,188","2,994",N,N,N,"3,492","1,500",230,"6,833","5,783",934,"14,002","9,254","2,364",,(X),(X),(X),(X),,"36,068","22,805","30,297","35,083","42,054","51,902"
