state,year,Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Hawaii ,2013,"136,925",8.70%,33.40%,48.50%,9.30%,"959,903",3.90%,5.10%,27.40%,22.00%,10.40%,20.80%,10.40%,"204,167",95.50%,31.60%,"177,174",95.20%,35.00%,"358,454",91.60%,32.20%,"220,108",82.60%,26.00%,,"37,226","22,042","30,529","36,018","45,783","61,683"
Idaho ,2013,"158,393",13.80%,34.80%,43.90%,7.40%,"1,026,889",4.30%,6.30%,27.40%,26.70%,9.10%,18.00%,8.20%,"207,643",90.70%,25.70%,"195,107",89.90%,30.00%,"401,035",90.20%,26.10%,"223,104",86.30%,23.70%,,"30,477","20,425","25,126","29,000","38,960","56,773"
Illinois ,2013,"1,266,315",13.60%,27.70%,46.40%,12.30%,"8,593,665",5.50%,6.60%,27.00%,21.10%,7.60%,19.80%,12.40%,"1,779,710",90.30%,38.80%,"1,689,992",88.30%,36.40%,"3,383,875",89.40%,31.30%,"1,740,088",81.80%,22.60%,,"37,343","21,152","29,119","33,400","51,107","68,340"
Indiana ,2013,"670,468",17.10%,31.30%,42.80%,8.80%,"4,312,892",4.10%,8.30%,34.30%,21.30%,8.20%,15.20%,8.60%,"840,482",87.20%,27.40%,"826,166",90.10%,27.20%,"1,730,411",89.70%,23.70%,"915,833",81.50%,17.60%,,"32,622","20,392","27,928","31,675","44,939","59,150"
Iowa ,2013,"318,680",11.50%,24.60%,53.20%,10.70%,"2,048,270",3.10%,5.30%,32.70%,21.40%,11.10%,18.10%,8.40%,"389,750",92.70%,32.90%,"363,546",93.00%,31.60%,"815,349",93.10%,25.70%,"479,625",87.10%,18.60%,,"35,411","22,714","30,007","32,378","45,880","59,389"
Kansas ,2013,"300,970",13.00%,26.10%,51.50%,9.50%,"1,872,445",4.00%,5.90%,26.60%,24.60%,7.80%,20.00%,11.10%,"387,558",90.10%,33.50%,"347,137",90.10%,34.60%,"731,525",91.70%,31.90%,"406,225",87.00%,24.30%,,"35,103","22,246","28,118","31,165","45,216","56,929"
Kentucky ,2013,"427,057",14.50%,33.50%,44.20%,7.80%,"2,953,653",6.60%,9.30%,33.10%,20.80%,7.60%,13.30%,9.30%,"564,634",88.50%,26.40%,"565,930",89.00%,26.50%,"1,187,031",85.50%,22.00%,"636,058",73.10%,16.70%,,"31,647","20,160","26,389","30,296","42,410","53,668"
Louisiana ,2013,"477,823",20.70%,31.40%,40.90%,6.90%,"3,034,973",5.80%,11.10%,33.60%,21.50%,5.40%,14.90%,7.60%,"659,092",85.00%,25.50%,"565,847",86.20%,25.10%,"1,203,076",84.30%,21.60%,"606,958",75.70%,18.80%,,"33,091","19,727","27,223","31,709","46,512","58,530"
Maine ,2013,"114,005",11.70%,30.60%,50.10%,7.70%,"953,962",2.90%,5.20%,33.80%,20.20%,9.60%,18.10%,10.10%,"150,177",94.60%,31.20%,"157,792",94.20%,29.80%,"410,009",93.60%,27.60%,"235,984",85.40%,26.40%,,"31,379","19,984","25,821","30,688","40,854","51,108"
Maryland ,2013,"565,656",11.70%,28.00%,47.70%,12.50%,"4,018,701",4.10%,6.70%,25.70%,19.80%,6.30%,20.30%,17.10%,"815,577",90.20%,39.80%,"768,746",90.50%,41.60%,"1,640,510",91.00%,37.80%,"793,868",83.00%,30.20%,,"46,114","24,752","32,162","41,182","60,060","79,134"
Massachusetts ,2013,"695,074",10.70%,28.30%,45.00%,16.00%,"4,604,795",4.90%,5.20%,25.90%,16.00%,7.70%,22.50%,17.80%,"909,352",93.30%,49.00%,"844,416",92.40%,46.60%,"1,860,930",91.10%,39.10%,"990,097",82.40%,29.20%,,"44,510","22,714","31,785","38,542","56,296","71,634"
Michigan ,2013,"1,006,588",14.00%,27.40%,49.40%,9.20%,"6,645,295",3.30%,7.30%,29.70%,23.90%,8.90%,16.40%,10.50%,"1,180,523",90.60%,30.70%,"1,209,103",91.00%,31.20%,"2,768,886",91.30%,26.20%,"1,486,783",83.70%,21.50%,,"32,886","19,141","26,166","30,719","47,043","65,897"
Minnesota ,2013,"508,453",12.80%,26.10%,49.70%,11.40%,"3,629,333",3.10%,4.50%,26.30%,21.90%,10.60%,22.40%,11.10%,"739,072",93.00%,38.20%,"669,262",93.30%,39.70%,"1,466,281",94.30%,33.10%,"754,718",87.40%,24.30%,,"39,167","20,820","30,359","35,728","50,975","65,317"
Mississippi ,2013,"323,013",18.80%,27.30%,48.40%,5.60%,"1,931,054",6.30%,11.30%,30.60%,23.00%,8.40%,12.90%,7.50%,"375,578",84.80%,21.10%,"381,092",87.60%,22.80%,"760,019",83.70%,20.00%,"414,365",72.90%,18.20%,,"29,756","18,810","25,404","28,201","40,577","47,970"
Missouri ,2013,"597,813",13.00%,30.00%,46.30%,10.70%,"4,047,283",3.70%,7.60%,31.50%,22.60%,7.60%,16.90%,10.00%,"796,534",90.80%,32.00%,"723,852",90.90%,31.90%,"1,618,539",90.50%,26.20%,"908,358",81.80%,19.90%,,"32,206","18,937","26,808","30,858","43,178","55,820"
Montana ,2013,"101,900",16.00%,30.10%,48.20%,5.60%,"689,169",2.20%,5.10%,29.10%,26.20%,8.50%,19.70%,9.30%,"126,517",92.90%,30.50%,"114,827",94.90%,33.40%,"282,745",94.20%,27.20%,"165,080",88.40%,27.90%,,"30,278","20,807","24,588","27,922","37,477","51,447"
Nebraska ,2013,"189,556",12.60%,22.80%,55.60%,9.00%,"1,215,208",4.40%,5.40%,27.10%,23.90%,9.80%,19.60%,9.80%,"250,749",89.50%,35.10%,"224,561",88.90%,34.30%,"475,270",92.40%,29.20%,"264,628",88.20%,19.90%,,"33,370","22,195","27,285","31,312","44,237","55,312"
Nevada ,2013,"255,605",20.30%,35.00%,39.90%,4.90%,"1,872,884",6.00%,8.80%,28.40%,26.00%,8.10%,15.10%,7.50%,"397,867",85.40%,21.40%,"379,270",83.10%,22.10%,"714,915",86.90%,23.40%,"380,832",83.60%,22.50%,,"32,170","23,119","28,722","32,222","45,626","61,380"
New Hampshire ,2013,"127,716",10.40%,30.20%,46.10%,13.30%,"924,568",2.90%,4.40%,29.30%,19.40%,9.50%,21.90%,12.60%,"150,082",93.90%,34.20%,"162,369",95.30%,40.90%,"409,157",94.30%,35.10%,"202,960",86.80%,28.60%,,"40,282","24,898","32,463","36,715","49,845","61,208"
New Jersey ,2013,"790,737",12.40%,29.50%,44.80%,13.30%,"6,086,705",5.50%,6.00%,28.80%,16.80%,6.40%,22.60%,14.00%,"1,139,704",90.90%,42.60%,"1,183,903",90.60%,42.10%,"2,478,691",90.60%,36.80%,"1,284,407",80.40%,25.80%,,"44,938","21,398","31,654","38,677","60,457","81,217"
New Mexico ,2013,"215,357",18.80%,29.40%,47.10%,4.70%,"1,361,846",7.40%,8.40%,26.50%,23.50%,7.80%,15.00%,11.40%,"270,201",86.30%,23.50%,"249,017",85.10%,26.50%,"535,471",86.00%,27.20%,"307,157",78.80%,27.30%,,"31,178","16,615","25,765","30,004","41,940","55,311"
New York ,2013,"1,992,555",13.20%,25.60%,46.80%,14.40%,"13,419,310",6.80%,7.60%,26.80%,16.10%,8.60%,19.30%,14.80%,"2,795,995",89.20%,42.90%,"2,517,362",87.50%,38.80%,"5,276,110",86.90%,31.90%,"2,829,843",77.90%,25.30%,,"39,914","20,190","29,182","36,014","53,490","70,822"
North Carolina ,2013,"995,782",15.90%,29.20%,45.40%,9.40%,"6,568,110",5.40%,8.80%,26.50%,22.00%,8.80%,18.40%,9.90%,"1,269,513",86.80%,31.30%,"1,320,217",87.40%,32.50%,"2,573,662",87.80%,28.20%,"1,404,718",79.30%,22.40%,,"31,716","18,262","25,445","30,636","44,733","57,798"
North Dakota ,2013,"94,885",9.20%,27.20%,53.10%,10.50%,"467,815",4.10%,4.40%,27.50%,23.10%,13.80%,20.00%,7.20%,"101,662",94.80%,31.30%,"81,307",95.00%,35.60%,"182,296",94.40%,26.50%,"102,550",80.20%,17.50%,,"37,193","25,332","30,974","36,441","43,465","52,291"
Ohio ,2013,"1,116,768",14.60%,30.50%,45.40%,9.50%,"7,805,254",3.20%,7.80%,34.20%,20.50%,8.20%,16.40%,9.70%,"1,446,230",90.40%,31.80%,"1,416,469",91.50%,30.50%,"3,190,592",91.00%,25.40%,"1,751,963",82.40%,19.40%,,"34,575","19,078","27,313","31,831","48,894","61,794"
Oklahoma ,2013,"396,299",17.90%,32.00%,42.90%,7.20%,"2,506,437",4.40%,8.90%,32.30%,23.50%,7.20%,16.10%,7.70%,"522,612",87.40%,25.30%,"472,596",87.90%,26.00%,"963,302",87.90%,23.80%,"547,927",82.90%,20.40%,,"31,730","21,464","26,728","31,207","41,397","52,610"
Oregon ,2013,"366,494",13.80%,30.30%,48.40%,7.50%,"2,704,043",4.10%,6.10%,24.30%,26.30%,8.40%,19.30%,11.50%,"534,850",90.20%,30.70%,"514,966",88.40%,35.70%,"1,049,631",90.80%,29.50%,"604,596",88.70%,28.70%,,"31,633","19,512","26,097","30,385","42,388","57,215"
Pennsylvania ,2013,"1,248,038",12.70%,31.80%,44.30%,11.20%,"8,809,510",3.60%,7.20%,36.40%,16.20%,7.90%,17.50%,11.20%,"1,600,329",91.40%,36.90%,"1,536,491",91.50%,34.50%,"3,582,718",91.40%,27.80%,"2,089,972",82.00%,19.60%,,"36,407","21,616","28,851","34,134","49,318","64,939"
Rhode Island ,2013,"118,708",10.00%,28.20%,48.80%,12.90%,"719,956",6.10%,8.00%,26.60%,18.50%,8.30%,19.80%,12.60%,"134,876",89.60%,38.40%,"126,983",88.40%,33.10%,"295,233",89.10%,33.30%,"162,864",74.90%,25.10%,,"39,221","21,120","30,688","35,697","52,002","67,373"
South Carolina ,2013,"496,703",16.70%,29.90%,45.60%,7.70%,"3,198,816",5.00%,9.30%,29.40%,21.30%,8.90%,16.60%,9.50%,"607,844",86.40%,28.10%,"594,855",89.10%,29.20%,"1,271,010",87.40%,25.50%,"725,107",79.00%,22.90%,,"31,206","17,806","25,230","30,626","41,840","51,346"
South Dakota ,2013,"85,437",15.40%,30.80%,46.20%,7.60%,"550,959",3.50%,4.90%,31.30%,22.30%,11.40%,18.90%,7.60%,"110,717",93.10%,30.00%,"96,760",93.70%,32.40%,"218,979",93.60%,25.60%,"124,503",85.00%,20.70%,,"31,366","20,940","27,082","30,389","37,730","50,243"
Tennessee ,2013,"633,862",12.90%,35.30%,43.40%,8.40%,"4,370,035",5.60%,8.80%,32.90%,21.20%,6.70%,15.60%,9.20%,"842,934",89.20%,29.70%,"846,939",88.60%,28.50%,"1,729,972",87.10%,23.60%,"950,190",76.80%,19.20%,,"31,585","18,706","25,504","31,143","42,403","55,401"
Texas ,2013,"2,733,619",17.10%,31.20%,43.90%,7.90%,"16,673,656",9.10%,9.00%,25.20%,22.60%,6.50%,18.30%,9.30%,"3,804,859",85.40%,28.40%,"3,590,709",82.10%,29.40%,"6,311,561",82.30%,27.90%,"2,966,527",76.20%,23.50%,,"34,616","19,870","26,757","33,350","50,704","65,760"
Utah ,2013,"333,592",13.40%,28.50%,52.00%,6.10%,"1,670,449",2.90%,5.50%,22.90%,27.80%,9.50%,20.90%,10.50%,"439,707",92.50%,31.50%,"373,367",90.70%,32.80%,"574,695",91.90%,30.50%,"282,680",90.50%,30.90%,,"35,365","22,290","27,868","31,843","44,668","61,774"
Vermont ,2013,"66,326",9.40%,30.30%,47.70%,12.70%,"436,174",3.20%,5.30%,30.60%,16.90%,8.20%,21.40%,14.30%,"70,428",92.80%,38.60%,"72,690",94.00%,40.00%,"190,398",93.40%,34.70%,"102,658",85.10%,32.70%,,"34,771","23,474","29,002","31,443","40,889","54,872"
Virginia ,2013,"834,850",11.10%,31.60%,44.90%,12.40%,"5,561,224",4.70%,6.90%,24.80%,20.10%,7.30%,21.10%,15.10%,"1,152,347",91.80%,39.00%,"1,098,291",90.90%,40.90%,"2,205,777",89.70%,36.40%,"1,104,809",79.70%,28.00%,,"40,465","21,629","28,505","35,244","54,270","76,575"
Washington ,2013,"669,118",15.90%,29.20%,45.20%,9.70%,"4,706,104",4.00%,5.90%,23.30%,24.60%,9.50%,20.90%,11.80%,"992,349",89.70%,33.20%,"919,683",89.90%,34.80%,"1,843,306",91.50%,32.90%,"950,766",88.20%,29.80%,,"38,926","21,550","30,595","35,743","52,013","67,087"
West Virginia ,2013,"178,022",14.60%,36.30%,41.80%,7.30%,"1,294,025",5.40%,10.00%,40.20%,18.60%,6.80%,11.30%,7.60%,"213,278",90.70%,24.50%,"233,256",89.30%,21.40%,"527,478",85.30%,18.50%,"320,013",75.80%,14.20%,,"31,406","20,267","27,085","28,818","42,380","54,456"
Wisconsin ,2013,"557,500",12.50%,30.80%,46.60%,10.10%,"3,879,291",3.10%,6.00%,32.00%,21.10%,10.00%,18.40%,9.40%,"733,172",92.40%,32.80%,"696,351",92.00%,32.50%,"1,601,161",92.70%,26.80%,"848,607",85.30%,21.00%,,"35,158","20,752","28,969","32,111","46,445","60,202"
Wyoming ,2013,"58,969",12.40%,31.50%,49.20%,6.90%,"383,914",1.50%,5.00%,28.40%,27.80%,10.70%,17.80%,8.80%,"81,598",92.90%,30.80%,"70,178",96.60%,26.80%,"154,584",95.10%,26.20%,"77,554",88.30%,22.60%,,"36,543","24,796","32,111","31,843","46,287","56,548"
