state,year,Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
Maryland ,2016,"547,787","63,879","161,256","244,984","77,668","4,122,508","166,606","240,623","1,046,470","779,195","268,485","860,491","760,638","832,284","762,848","345,164","765,502","693,129","343,257","1,648,274","1,505,082","634,753","876,448","754,220","297,955",,"48,147","26,170","32,982","41,813","61,049","82,479"
Massachusetts ,2016,"705,317","77,062","190,893","313,223","124,139","4,727,515","212,315","240,370","1,156,496","734,632","363,356","1,124,295","896,051","950,957","883,574","488,184","826,713","763,260","406,819","1,875,420","1,712,418","759,372","1,074,425","915,578","365,971",,"48,220","25,717","35,003","40,706","60,503","76,972"
Michigan ,2016,"976,715","130,791","285,514","464,734","95,676","6,760,402","203,405","444,504","1,978,343","1,598,192","626,128","1,162,737","747,093","1,248,301","1,141,809","396,866","1,158,269","1,060,314","384,182","2,744,767","2,512,412","743,747","1,609,065","1,397,958","385,035",,"36,209","20,512","27,202","32,435","50,821","68,906"
Minnesota ,2016,"506,046","60,040","137,660","240,401","67,945","3,725,283","111,658","152,230","937,937","796,712","429,762","860,125","436,859","744,809","697,952","298,857","680,392","631,719","277,380","1,469,747","1,385,242","492,298","830,335","746,482","228,449",,"41,757","23,823","31,535","38,355","54,749","70,728"
Mississippi ,2016,"308,551","46,877","94,095","150,957","16,622","1,957,022","94,724","216,010","603,335","438,995","177,695","264,865","161,398","378,612","333,009","86,903","374,600","328,858","90,913","754,176","636,867","157,185","449,634","347,554","91,262",,"31,731","20,057","26,693","30,838","42,130","51,943"
Missouri ,2016,"581,922","78,214","179,241","267,410","57,057","4,121,014","137,315","292,624","1,265,386","927,795","325,244","729,511","443,139","799,577","736,783","269,437","737,255","669,974","246,047","1,607,203","1,451,630","435,418","976,979","832,688","221,748",,"35,908","21,505","29,902","32,334","45,701","57,229"
Montana ,2016,"101,230","11,207","35,947","45,550","8,526","712,616","13,453","37,785","206,415","168,223","66,134","148,944","71,662","126,836","117,221","40,657","120,268","113,483","42,083","281,631","264,042","84,519","183,881","166,632","53,347",,"32,091","18,782","26,475","30,816","39,650","52,319"
Nebraska ,2016,"189,211","19,623","54,416","96,079","19,093","1,243,820","51,410","61,935","328,348","281,360","129,795","261,931","129,041","255,384","231,114","95,456","233,281","210,722","87,263","469,865","431,365","137,109","285,290","257,274","71,144",,"37,002","25,292","30,482","35,209","46,260","61,459"
Nevada ,2016,"251,946","42,936","92,228","103,246","13,536","2,010,610","122,892","157,641","585,057","516,903","156,342","308,547","163,228","424,305","370,239","96,304","390,373","328,482","91,028","754,171","647,619","171,886","441,761","383,737","112,557",,"35,156","25,444","30,968","35,351","46,908","62,224"
New Hampshire ,2016,"127,368","13,260","40,329","53,987","19,792","947,586","20,623","47,275","256,245","179,277","97,488","213,461","133,217","160,594","150,880","66,824","152,488","143,462","61,452","407,572","382,814","142,746","226,932","202,532","75,656",,"41,776","27,896","32,290","39,245","51,823","67,970"
New Jersey ,2016,"788,858","89,644","225,405","345,013","128,796","6,171,172","317,182","343,494","1,706,073","1,024,289","400,332","1,460,518","919,284","1,157,062","1,072,646","514,631","1,151,388","1,046,157","509,349","2,490,567","2,252,336","949,364","1,372,155","1,139,357","406,458",,"47,461","22,319","31,941","41,074","62,300","87,104"
New Mexico ,2016,"200,120","34,213","60,024","93,386","12,497","1,391,381","84,515","118,426","370,508","323,025","116,674","215,691","162,542","276,979","243,382","65,564","249,353","211,365","64,724","522,988","452,321","144,784","342,061","281,372","103,161",,"31,524","18,979","25,622","30,487","42,021","56,325"
New York ,2016,"1,912,311","224,093","502,339","875,108","310,771","13,653,592","865,976","1,002,316","3,574,814","2,150,858","1,191,816","2,749,619","2,118,193","2,886,788","2,606,044","1,284,441","2,460,284","2,155,472","999,010","5,275,739","4,595,980","1,734,365","3,030,781","2,427,804","849,996",,"41,610","21,133","30,742","37,005","56,868","73,504"
North Carolina ,2016,"972,709","135,878","309,990","426,946","99,895","6,877,185","319,570","553,627","1,775,886","1,482,131","654,866","1,345,615","745,490","1,321,286","1,184,050","434,047","1,304,270","1,144,478","459,456","2,683,038","2,386,081","810,238","1,568,591","1,289,379","387,364",,"35,160","20,664","26,922","31,666","47,143","60,374"
North Dakota ,2016,"88,343","6,189","27,642","43,690","10,822","495,015","13,827","23,917","134,178","109,216","67,554","107,578","38,745","116,058","110,433","42,227","86,296","80,944","31,095","182,810","172,488","49,475","109,851","93,406","23,526",,"40,683","29,430","32,689","39,346","46,865","61,079"
Ohio ,2016,"1,083,341","148,155","366,241","459,867","109,078","7,922,061","222,209","568,107","2,639,028","1,630,529","682,507","1,362,205","817,476","1,500,872","1,376,749","489,950","1,380,616","1,262,049","452,619","3,155,659","2,889,112","832,532","1,884,914","1,603,835","404,580",,"36,819","20,969","30,230","33,825","50,830","65,773"
Oklahoma ,2016,"389,969","62,371","136,011","165,572","26,015","2,571,636","103,252","209,774","802,529","603,826","203,590","432,922","215,743","536,769","478,560","143,589","477,591","417,940","129,726","968,984","860,673","243,095","588,292","501,437","132,255",,"34,558","21,968","28,144","33,012","44,977","57,433"
Oregon ,2016,"367,267","46,586","113,029","170,878","36,774","2,857,952","106,021","171,461","655,893","745,532","244,515","572,508","362,022","573,033","524,906","200,006","533,772","476,280","192,674","1,062,259","957,604","333,881","688,888","621,680","207,969",,"35,945","22,194","29,816","32,004","46,942","63,868"
Pennsylvania ,2016,"1,187,407","143,157","400,098","499,538","144,614","8,921,975","289,165","591,181","3,132,444","1,431,231","730,217","1,676,971","1,070,766","1,674,043","1,548,766","652,368","1,481,365","1,363,048","557,151","3,544,806","3,244,923","1,032,699","2,221,761","1,884,892","505,519",,"39,615","22,805","30,508","35,886","51,199","69,691"
Rhode Island ,2016,"113,741","12,621","33,953","51,674","15,493","734,045","38,405","45,778","204,045","135,369","60,183","151,195","99,070","142,792","135,049","58,008","123,033","111,392","46,769","294,165","263,149","95,322","174,055","140,272","50,166",,"41,590","25,603","32,759","37,040","52,045","71,414"
South Carolina ,2016,"472,679","64,084","155,741","210,157","42,697","3,388,476","148,917","304,737","981,669","713,098","317,549","591,086","331,420","646,998","571,848","187,507","611,528","530,873","182,579","1,299,803","1,150,437","341,942","830,147","681,664","210,478",,"33,255","20,566","27,031","31,621","46,083","55,218"
South Dakota ,2016,"85,659","12,127","24,915","40,256","8,361","565,894","18,275","31,736","163,910","123,619","65,093","111,002","52,259","111,536","100,997","38,207","98,662","91,697","30,817","218,127","202,977","60,280","137,569","120,212","33,957",,"36,068","22,805","30,297","35,083","42,054","51,902"
Tennessee ,2016,"620,744","72,269","220,641","266,393","61,441","4,527,198","216,289","374,024","1,465,937","959,498","328,595","756,055","426,800","886,029","807,452","275,380","837,897","753,731","241,376","1,758,017","1,542,708","448,092","1,045,255","832,994","218,007",,"34,346","21,156","27,292","32,327","46,065","56,454"
Texas ,2016,"2,795,622","421,608","905,685","1,220,472","247,857","17,775,280","1,529,632","1,506,376","4,474,711","3,869,300","1,259,574","3,362,678","1,773,009","4,061,590","3,547,482","1,228,026","3,748,838","3,102,265","1,161,753","6,612,009","5,466,520","1,880,822","3,352,843","2,623,005","865,086",,"36,691","21,720","27,774","35,933","52,967","69,803"
Utah ,2016,"346,126","42,271","106,080","174,998","22,777","1,783,244","51,995","95,408","404,605","472,108","178,193","381,130","199,805","448,034","415,611","150,480","410,026","372,594","146,801","605,694","554,924","182,767","319,490","292,712","100,887",,"37,171","25,501","30,923","34,015","47,164","70,026"
Vermont ,2016,"66,347","6,238","20,940","31,474","7,695","439,563","11,087","23,483","128,767","75,872","40,499","92,871","66,984","71,885","65,879","28,322","70,519","66,243","29,099","183,559","171,176","63,253","113,600","101,695","39,181",,"37,965","26,125","31,471","35,937","42,338","57,297"
Virginia ,2016,"823,075","87,711","251,929","377,064","106,371","5,721,173","247,576","366,738","1,372,836","1,116,669","438,669","1,241,751","936,934","1,152,326","1,065,540","473,137","1,094,657","999,750","470,353","2,246,145","2,014,882","851,257","1,228,045","1,026,687","383,938",,"42,006","23,061","30,524","36,778","56,324","80,559"
Washington ,2016,"662,384","100,490","201,749","280,925","79,220","4,996,555","192,181","266,656","1,111,786","1,178,772","491,450","1,098,509","657,201","1,074,803","987,942","400,634","944,034","846,384","363,340","1,898,905","1,732,782","641,749","1,078,813","970,610","349,987",,"41,887","25,151","32,077","37,295","58,262","72,335"
West Virginia ,2016,"162,462","20,307","56,707","72,301","13,147","1,291,757","57,435","123,866","512,228","233,677","95,794","162,243","106,514","216,104","194,683","55,524","222,599","200,169","55,426","509,279","443,373","99,810","343,775","272,231","57,997",,"31,970","20,512","26,122","31,038","42,318","54,743"
Wisconsin ,2016,"560,389","60,137","177,350","258,286","64,616","3,933,329","106,804","210,940","1,222,607","812,391","420,412","758,503","401,672","730,022","681,539","260,404","685,711","633,986","237,199","1,590,335","1,478,829","440,332","927,261","821,231","222,240",,"38,599","24,238","31,233","36,035","50,323","62,487"
Wyoming ,2016,"53,847","8,584","17,450","24,230","3,583","390,794","5,751","20,940","114,624","97,961","45,601","67,845","38,072","80,974","76,422","22,037","72,132","68,022","21,374","150,105","140,863","39,186","87,583","78,796","23,320",,"37,164","23,969","31,491","34,750","47,322","59,833"
