state,year,18-24_count,18-24<hs_grad,18-24_hs_grad/equiv,18-24_some_college/associate,18-24_bachelor/higher,25+_count,25+<9th_grade,25+_9th-12th_grade_nongrad,25+_hs_grad/equiv,25+_some_college,25+_associate's,25+_bachelor's,25+>bachelor,25-34_count,25-34_hs_grad/higher,25-34_bachelor/higher,35-44_count,35-44_hs_grad/higher,35-44_bachelor/higher,45-64_count,45-64_hs_grad/higher,45-64_bachelor/higher,65+_count,65+_hs_grad/higher,65+_bachelor/higher,25+_earnings,25+<hs_grad,25+_hs_grad/equiv,25+_some_college/associate,25+_bachelor's,25+>bachelor
Massachusetts ,2015,"700,584","71,420","192,573","315,353","121,238","4,706,644","213,496","245,853","1,184,423","748,705","362,478","1,086,715","864,974","941,776","881,127","479,197","838,603","770,547","387,501","1,882,039","1,714,171","749,731","1,044,226","881,450","335,260","46,480","23,077","32,480","38,797","57,285","74,405"
Michigan ,2015,"986,405","128,219","284,916","477,521","95,749","6,728,347","201,139","461,761","1,979,472","1,593,413","622,089","1,145,546","724,927","1,221,558","1,114,078","385,851","1,175,407","1,072,519","378,272","2,760,741","2,529,571","738,421","1,570,641","1,349,279","367,929","35,543","20,106","26,835","31,865","49,839","66,580"
Minnesota ,2015,"505,761","66,536","138,996","235,159","65,070","3,700,935","112,193","155,113","941,170","794,499","413,953","847,584","436,423","745,711","696,370","303,598","675,937","628,703","270,410","1,474,329","1,390,790","494,051","804,958","717,766","215,948","40,851","22,801","31,311","36,845","51,601","67,260"
Mississippi ,2015,"311,989","49,158","90,111","153,465","19,255","1,952,337","112,812","209,997","605,790","438,004","179,135","253,036","153,563","373,921","327,020","86,420","385,487","332,827","85,720","751,968","631,518","147,914","440,961","338,163","86,545","31,090","21,833","26,411","30,679","39,960","51,111"
Missouri ,2015,"593,894","82,094","178,672","276,496","56,632","4,097,212","145,571","308,053","1,269,953","915,960","316,815","706,922","433,938","796,209","726,046","259,997","733,744","665,921","244,004","1,616,311","1,450,766","430,816","950,948","800,855","206,043","35,129","21,161","27,375","32,114","45,607","57,209"
Montana ,2015,"100,393","16,220","35,650","42,521","6,002","706,329","14,391","31,182","222,399","161,387","60,796","144,135","72,039","128,657","120,750","42,354","118,633","112,958","43,277","280,108","264,068","78,686","178,931","162,980","51,857","31,848","17,549","26,806","30,429","39,292","52,284"
Nebraska ,2015,"192,977","22,584","50,520","95,740","24,133","1,232,583","47,858","62,768","331,868","292,746","125,055","244,556","127,732","252,652","232,501","87,702","232,446","208,517","83,941","468,794","434,141","137,209","278,691","246,798","63,436","36,403","22,266","29,307","34,836","46,833","60,470"
Nevada ,2015,"254,123","47,331","88,796","105,235","12,761","1,968,167","125,701","157,660","549,151","512,364","159,610","304,948","158,733","411,910","359,446","88,576","388,122","325,999","96,635","746,023","636,633","173,354","422,112","362,728","105,116","33,755","25,316","30,254","33,253","45,977","62,155"
New Hampshire ,2015,"130,063","14,427","41,363","58,383","15,890","937,214","18,249","46,392","267,078","179,983","91,199","205,513","128,800","155,315","147,196","63,277","156,414","147,069","61,992","407,128","382,740","141,013","218,357","195,568","68,031","42,178","29,179","33,726","40,122","51,426","67,491"
New Jersey ,2015,"792,764","92,194","215,678","364,141","120,751","6,166,384","319,454","355,305","1,757,377","1,024,098","392,077","1,437,307","880,766","1,151,980","1,060,132","502,996","1,168,897","1,057,841","506,306","2,502,556","2,269,355","931,363","1,342,951","1,104,297","377,408","45,704","22,278","31,719","39,832","60,935","83,032"
New Mexico ,2015,"208,145","37,642","62,173","98,641","9,689","1,377,548","92,820","118,788","369,807","325,356","106,315","198,116","166,346","272,426","231,232","59,093","246,672","207,735","60,654","527,856","455,314","145,729","330,594","271,659","98,986","31,109","18,599","26,477","29,996","42,423","57,560"
New York ,2015,"1,941,151","231,056","508,223","896,102","305,770","13,641,473","903,295","1,012,572","3,615,023","2,177,053","1,155,067","2,727,078","2,051,385","2,875,580","2,582,494","1,267,773","2,498,772","2,189,035","991,369","5,304,674","4,608,622","1,720,202","2,962,447","2,345,455","799,119","40,996","20,814","30,614","36,736","55,360","71,684"
North Carolina ,2015,"992,108","141,265","305,851","451,025","93,967","6,762,644","340,573","568,846","1,785,510","1,452,845","623,813","1,277,412","713,645","1,298,130","1,143,191","416,402","1,312,886","1,149,848","435,224","2,636,083","2,330,457","770,394","1,515,545","1,229,729","369,037","33,096","20,359","26,632","31,060","46,171","59,243"
North Dakota ,2015,"93,597","9,624","24,590","47,163","12,220","492,017","18,142","18,826","135,670","111,721","64,255","105,625","37,778","114,100","108,196","40,646","86,540","83,699","27,905","184,020","173,824","53,559","107,357","89,330","21,293","40,741","30,667","33,374","37,644","45,787","65,049"
Ohio ,2015,"1,087,145","149,417","355,266","476,502","105,960","7,896,470","233,766","579,508","2,664,823","1,623,927","679,330","1,329,009","786,107","1,486,363","1,367,228","476,381","1,400,811","1,281,114","446,560","3,169,742","2,891,451","820,319","1,839,554","1,543,403","371,856","36,014","20,775","29,284","32,285","50,191","62,324"
Oklahoma ,2015,"392,378","66,254","127,197","169,139","29,788","2,557,863","108,956","215,702","808,375","606,070","188,756","421,765","208,239","535,955","476,266","135,896","479,383","420,832","127,632","966,494","849,664","236,307","576,031","486,443","130,169","32,950","22,135","27,321","32,197","42,195","55,490"
Oregon ,2015,"363,364","55,106","109,704","163,286","35,268","2,804,461","103,304","176,281","654,930","722,848","245,431","566,244","335,423","553,310","503,719","189,883","527,375","468,474","194,256","1,063,998","959,198","324,700","659,778","593,485","192,828","33,828","21,904","26,567","31,625","44,049","61,139"
Pennsylvania ,2015,"1,214,756","150,500","398,081","523,401","142,774","8,895,727","297,088","620,062","3,174,802","1,423,274","739,478","1,611,499","1,029,524","1,648,641","1,518,212","623,873","1,501,855","1,375,299","535,516","3,564,038","3,254,457","1,009,039","2,181,193","1,830,609","472,595","37,775","21,860","30,304","35,547","50,791","66,931"
Rhode Island ,2015,"114,340","11,114","32,621","55,722","14,883","730,083","40,319","49,725","204,295","134,773","62,153","141,131","97,687","143,020","130,237","51,879","123,682","111,451","43,347","292,849","261,474","98,950","170,532","136,877","44,642","41,130","23,540","34,328","37,783","50,880","70,840"
South Carolina ,2015,"487,006","62,383","164,465","218,004","42,154","3,319,832","147,012","306,843","977,099","685,917","312,720","575,843","314,398","631,579","561,787","184,488","600,449","528,275","170,940","1,293,850","1,135,652","342,966","793,954","640,263","191,847","32,063","19,637","26,184","31,663","44,151","52,733"
South Dakota ,2015,"85,681","12,173","25,843","39,371","8,294","563,108","19,422","30,620","175,958","119,929","62,294","110,562","44,323","111,923","102,933","35,034","98,348","90,667","31,126","218,324","204,279","57,585","134,513","115,187","31,140","34,248","24,776","29,135","32,264","41,273","51,443"
Tennessee ,2015,"633,012","66,248","230,156","278,756","57,852","4,473,487","237,285","386,520","1,482,137","915,965","300,500","719,980","431,100","865,801","777,408","264,324","841,160","744,572","248,145","1,750,746","1,530,805","430,377","1,015,780","796,897","208,234","32,406","20,461","26,490","31,615","45,600","56,896"
Texas ,2015,"2,787,469","445,677","896,395","1,224,498","220,899","17,472,861","1,559,568","1,511,574","4,425,654","3,816,471","1,204,220","3,266,266","1,689,108","3,977,864","3,447,694","1,170,897","3,725,435","3,071,942","1,143,876","6,548,055","5,381,499","1,835,358","3,221,507","2,500,584","805,243","36,361","21,362","28,000","35,462","51,887","70,031"
Utah ,2015,"341,637","43,390","105,883","169,008","23,356","1,741,949","49,949","97,817","421,822","458,040","159,609","368,302","186,410","440,506","406,490","138,030","402,256","367,206","134,743","591,345","540,441","189,976","307,842","280,046","91,963","36,431","23,626","30,517","32,661","46,255","70,017"
Vermont ,2015,"67,228","5,619","17,715","34,136","9,758","438,654","12,303","24,166","127,127","75,070","37,916","97,824","64,248","70,733","64,762","27,518","69,851","65,940","26,884","187,986","175,554","67,437","110,084","95,929","40,233","36,529","21,884","30,898","36,054","40,348","55,525"
Virginia ,2015,"827,861","84,270","252,719","392,124","98,748","5,685,318","256,445","373,316","1,399,157","1,127,401","426,955","1,209,217","892,827","1,172,805","1,082,827","464,470","1,095,902","998,933","464,488","2,229,167","2,004,880","823,350","1,187,444","968,917","349,736","41,361","22,657","29,674","35,656","55,799","78,049"
Washington ,2015,"669,067","92,652","209,996","296,796","69,623","4,889,314","191,853","256,378","1,127,649","1,171,141","471,400","1,059,707","611,186","1,050,364","958,369","373,612","926,769","837,347","345,156","1,875,555","1,715,294","621,964","1,036,626","930,073","330,161","41,140","24,751","31,319","37,293","55,795","71,123"
West Virginia ,2015,"164,334","18,997","61,194","71,040","13,103","1,300,347","58,050","124,065","529,290","244,509","90,019","152,256","102,158","217,874","197,532","57,056","230,444","210,834","49,498","515,668","450,405","95,396","336,361","259,461","52,464","31,634","18,618","26,658","30,816","41,512","52,317"
Wisconsin ,2015,"560,301","62,206","176,145","259,581","62,369","3,918,997","116,279","219,265","1,223,628","835,967","411,400","742,544","369,914","725,456","676,867","243,575","696,695","639,343","233,562","1,596,083","1,480,795","436,597","900,763","786,448","198,724","37,222","22,730","30,884","35,361","47,383","61,217"
Wyoming ,2015,"57,860","8,953","19,757","26,466","2,684","388,747","7,773","22,652","111,830","102,246","42,212","67,108","34,926","82,440","75,566","21,981","72,140","68,283","20,335","151,620","139,587","36,852","82,547","74,886","22,866","37,811","25,376","32,377","35,229","46,092","61,476"
