Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,    High school graduate or higher,    Bachelor's degree or higher,Population 35 to 44 years,    High school graduate or higher,    Bachelor's degree or higher,Population 45 to 64 years,    High school graduate or higher,    Bachelor's degree or higher,Population 65 years and over,    High school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,PERCENT IMPUTED,    Educational attainment
Georgia Total Estimate,"1,029,514",16.90%,32.00%,42.90%,8.20%,"6,576,408",5.40%,9.00%,28.40%,21.10%,7.00%,18.20%,10.80%,85.60%,29.10%,"1,375,152",86.60%,29.90%,"1,384,956",86.80%,32.30%,"2,567,430",87.60%,29.70%,"1,248,870",79.30%,23.20%,,31.50%,17.40%,12.10%,4.60%,,"33,708","20,061","26,197","31,393","48,679","61,176",,6.90%
Hawaii Total Estimate,"136,621",8.50%,39.40%,44.60%,7.50%,"974,586",4.00%,4.30%,28.50%,21.70%,10.50%,20.60%,10.50%,91.70%,31.00%,"210,810",94.20%,29.20%,"176,248",95.80%,35.40%,"359,467",93.00%,32.00%,"228,061",84.20%,27.80%,,21.60%,12.80%,8.30%,5.30%,,"37,399","23,579","30,509","36,132","49,725","62,707",,7.90%
Idaho Total Estimate,"158,006",14.10%,34.90%,45.50%,5.50%,"1,045,193",3.90%,6.00%,28.20%,27.60%,9.30%,16.80%,8.30%,90.10%,25.00%,"211,307",90.90%,23.50%,"202,500",89.30%,29.00%,"396,407",90.90%,24.90%,"234,979",88.80%,23.10%,,22.00%,14.80%,9.60%,4.90%,,"30,478","22,514","24,752","28,029","41,423","56,784",,10.10%
Illinois Total Estimate,"1,256,770",12.80%,28.10%,46.20%,12.90%,"8,639,076",5.20%,6.60%,26.70%,20.90%,7.80%,20.10%,12.70%,88.20%,32.80%,"1,777,446",91.00%,40.20%,"1,681,898",89.10%,37.20%,"3,391,878",89.40%,31.30%,"1,787,854",82.20%,24.20%,,25.00%,14.30%,10.30%,4.50%,,"38,097","21,533","28,847","34,676","51,638","67,863",,6.60%
Indiana Total Estimate,"670,265",17.00%,31.30%,42.70%,9.00%,"4,342,916",3.90%,7.70%,34.30%,21.10%,8.50%,15.70%,8.90%,88.40%,24.70%,"843,079",89.40%,29.00%,"832,070",89.40%,28.40%,"1,726,273",90.00%,23.90%,"941,494",83.80%,18.90%,,26.10%,12.50%,10.40%,4.20%,,"33,475","21,065","29,174","31,976","44,424","57,085",,5.60%
Iowa Total Estimate,"318,801",10.70%,27.90%,51.60%,9.80%,"2,062,734",3.10%,4.80%,31.70%,21.40%,11.30%,18.60%,9.00%,92.10%,27.70%,"390,194",93.10%,35.40%,"365,753",93.30%,33.80%,"816,159",93.60%,25.80%,"490,628",88.00%,20.10%,,20.60%,11.20%,8.60%,4.00%,,"36,247","25,178","29,741","34,242","46,851","60,464",,6.30%
Kansas Total Estimate,"300,013",12.70%,27.20%,49.80%,10.30%,"1,881,521",3.90%,5.80%,26.50%,24.10%,8.10%,20.30%,11.30%,90.30%,31.50%,"387,054",90.60%,33.70%,"349,971",89.70%,36.40%,"726,963",91.90%,31.20%,"417,533",87.60%,26.00%,,24.00%,12.90%,9.80%,4.00%,,"35,743","23,067","28,063","32,063","46,785","54,289",,6.20%
Kentucky Total Estimate,"430,973",13.30%,33.80%,44.60%,8.40%,"2,967,181",6.60%,8.90%,33.80%,20.70%,7.70%,13.00%,9.20%,84.50%,22.20%,"562,906",89.40%,27.10%,"559,455",88.60%,25.90%,"1,191,798",85.70%,21.00%,"653,022",74.40%,17.10%,,33.80%,17.10%,12.30%,4.30%,,"31,564","20,244","26,201","30,884","43,798","53,222",,7.20%
Louisiana Total Estimate,"474,204",19.20%,32.00%,41.70%,7.20%,"3,060,688",5.70%,10.70%,33.80%,21.50%,5.40%,15.20%,7.80%,83.60%,22.90%,"660,444",86.10%,26.90%,"578,342",86.30%,25.20%,"1,190,732",84.20%,21.00%,"631,170",77.40%,20.30%,,32.60%,17.80%,12.50%,4.70%,,"33,355","21,053","27,446","31,702","46,903","56,644",,6.60%
Maine Total Estimate,"112,710",11.90%,29.60%,47.60%,10.90%,"959,407",3.10%,5.20%,32.30%,20.30%,9.70%,19.40%,10.00%,91.70%,29.40%,"152,283",93.50%,32.10%,"156,180",95.50%,31.80%,"408,380",93.40%,29.20%,"242,564",85.40%,26.40%,,27.50%,14.90%,10.40%,4.60%,,"32,062","19,375","26,240","31,134","40,695","54,404",,4.10%
Maryland Total Estimate,"562,419",12.20%,30.40%,44.70%,12.70%,"4,062,813",4.10%,6.30%,25.70%,19.10%,6.50%,20.70%,17.50%,89.60%,38.20%,"827,460",89.90%,41.60%,"771,141",90.10%,42.50%,"1,642,041",91.50%,37.70%,"822,171",85.00%,31.90%,,21.30%,11.30%,7.40%,3.30%,,"46,142","25,063","32,369","41,041","59,691","79,623",,8.30%
Massachusetts Total Estimate,"700,372",10.20%,27.60%,44.90%,17.20%,"4,654,351",5.00%,5.40%,24.90%,15.70%,7.90%,23.20%,18.00%,89.70%,41.20%,"928,715",92.60%,50.10%,"839,355",91.80%,46.80%,"1,870,704",90.90%,40.30%,"1,015,577",83.00%,30.00%,,26.60%,12.40%,9.10%,4.30%,,"45,809","23,801","32,137","38,355","57,451","72,212",,7.20%
Michigan Total Estimate,"1,005,716",13.10%,28.60%,48.60%,9.70%,"6,680,525",3.20%,6.90%,29.70%,23.60%,9.30%,16.50%,10.80%,89.90%,27.40%,"1,196,312",91.30%,31.50%,"1,189,934",91.20%,32.20%,"2,763,212",91.50%,26.50%,"1,531,067",84.60%,21.80%,,29.30%,15.00%,11.50%,4.60%,,"34,548","18,457","26,372","31,332","48,731","65,473",,6.00%
Minnesota Total Estimate,"501,482",12.00%,27.20%,47.90%,12.80%,"3,672,583",3.00%,4.50%,25.70%,21.60%,11.00%,22.70%,11.60%,92.60%,34.30%,"750,973",94.10%,39.60%,"672,081",93.00%,39.80%,"1,471,696",94.20%,33.20%,"777,833",87.80%,26.20%,,25.60%,11.30%,8.40%,3.60%,,"40,378","21,937","30,858","36,338","51,226","66,580",,5.60%
Mississippi Total Estimate,"310,816",17.90%,29.10%,47.20%,5.70%,"1,950,710",5.80%,11.40%,30.00%,23.10%,8.60%,13.00%,8.00%,82.80%,21.10%,"383,751",86.20%,23.90%,"385,978",86.90%,23.50%,"753,668",83.70%,19.50%,"427,313",74.50%,19.10%,,33.60%,18.70%,14.40%,5.30%,,"30,933","20,301","26,236","29,733","41,004","50,912",,5.90%
Missouri Total Estimate,"594,320",13.20%,29.20%,48.40%,9.20%,"4,076,767",3.60%,7.60%,31.40%,22.50%,7.50%,17.10%,10.40%,88.90%,27.50%,"794,702",90.80%,33.30%,"734,449",90.90%,32.40%,"1,615,726",90.10%,26.60%,"931,890",83.50%,20.30%,,29.30%,13.80%,11.00%,4.30%,,"33,275","20,342","27,080","31,398","44,221","55,536",,6.30%
Montana Total Estimate,"103,107",13.30%,34.90%,45.10%,6.70%,"695,850",2.20%,5.20%,30.60%,24.50%,8.20%,19.50%,9.80%,92.60%,29.30%,"128,275",92.40%,30.90%,"115,039",94.30%,32.70%,"282,383",94.00%,29.10%,"170,153",89.30%,26.10%,,24.10%,14.90%,12.00%,5.50%,,"30,731","20,119","25,751","28,274","37,487","50,584",,6.00%
Nebraska Total Estimate,"188,925",10.60%,27.70%,50.80%,10.90%,"1,224,701",4.30%,5.40%,27.20%,23.10%,10.40%,20.20%,9.30%,90.30%,29.50%,"254,597",90.20%,36.60%,"227,479",89.20%,33.90%,"471,948",92.20%,28.70%,"270,677",87.90%,20.70%,,24.60%,10.90%,8.80%,3.60%,,"35,066","22,122","28,617","32,312","43,402","56,915",,6.10%
Nevada Total Estimate,"256,970",18.20%,36.20%,40.10%,5.40%,"1,919,598",6.10%,8.80%,28.20%,25.80%,8.10%,15.20%,7.90%,85.10%,23.10%,"405,679",85.50%,22.30%,"383,515",83.80%,23.10%,"729,890",85.50%,23.30%,"400,514",85.20%,23.60%,,22.20%,14.20%,10.40%,6.30%,,"32,363","23,029","29,608","34,121","45,505","58,182",,8.10%
New Hampshire Total Estimate,"128,223",11.40%,29.40%,47.10%,12.00%,"931,304",2.60%,5.30%,28.60%,18.80%,9.80%,21.70%,13.30%,92.20%,35.00%,"154,599",93.40%,37.00%,"159,569",94.90%,40.30%,"407,689",93.70%,34.50%,"209,447",86.10%,30.40%,,18.70%,8.80%,7.00%,3.20%,,"41,105","29,231","31,871","38,384","51,965","65,924",,4.50%
New Jersey Total Estimate,"798,047",12.10%,28.00%,45.50%,14.40%,"6,127,931",5.20%,5.80%,28.20%,17.10%,6.40%,23.10%,14.30%,89.10%,37.40%,"1,147,338",91.80%,42.50%,"1,177,266",90.40%,43.00%,"2,491,202",90.90%,37.60%,"1,312,125",81.90%,27.50%,,23.40%,11.60%,8.20%,3.70%,,"45,239","21,808","31,921","40,086","60,575","81,156",,6.90%
New Mexico Total Estimate,"211,672",18.30%,29.80%,47.00%,5.00%,"1,373,822",6.60%,9.20%,26.40%,23.40%,8.00%,15.10%,11.40%,84.20%,26.40%,"276,256",86.40%,21.90%,"245,560",83.50%,24.50%,"533,920",85.60%,28.20%,"318,086",80.50%,28.80%,,35.80%,20.30%,15.40%,6.70%,,"30,897","17,275","25,086","30,299","42,412","54,671",,6.20%
New York Total Estimate,"1,981,342",12.80%,25.80%,46.30%,15.10%,"13,539,612",6.70%,7.60%,26.60%,16.10%,8.60%,19.60%,14.90%,85.70%,34.50%,"2,845,848",89.60%,43.40%,"2,507,726",87.60%,39.10%,"5,290,358",86.90%,32.30%,"2,895,680",78.30%,25.70%,,29.60%,15.60%,11.30%,5.40%,,"40,339","20,071","29,501","36,359","53,280","70,858",,9.00%
North Carolina Total Estimate,"991,459",13.80%,30.90%,45.80%,9.50%,"6,661,937",5.00%,8.50%,26.60%,21.90%,9.20%,18.60%,10.10%,86.40%,28.70%,"1,279,666",87.80%,31.60%,"1,320,250",87.50%,33.00%,"2,600,872",88.30%,28.20%,"1,461,149",81.00%,23.20%,,30.90%,16.20%,11.70%,4.50%,,"31,932","18,463","26,101","30,684","44,021","58,579",,6.30%
North Dakota Total Estimate,"93,106",10.90%,23.30%,52.90%,12.90%,"478,850",3.30%,4.50%,27.90%,23.50%,13.50%,19.80%,7.60%,92.20%,27.40%,"107,993",94.30%,32.50%,"82,197",95.60%,34.20%,"183,981",94.60%,25.50%,"104,679",83.20%,20.30%,,21.90%,9.50%,7.80%,4.20%,,"38,635","26,212","32,599","36,363","42,262","61,384",,7.30%
Ohio Total Estimate,"1,101,063",13.70%,32.60%,44.10%,9.50%,"7,857,460",3.00%,7.70%,33.90%,20.40%,8.40%,16.60%,10.10%,89.40%,26.60%,"1,467,370",91.10%,32.30%,"1,418,006",91.20%,31.00%,"3,175,216",90.90%,25.90%,"1,796,868",83.70%,19.70%,,29.80%,13.80%,11.60%,4.00%,,"35,199","20,122","28,402","31,815","48,648","62,450",,5.30%
Oklahoma Total Estimate,"395,873",16.60%,33.30%,43.00%,7.10%,"2,529,885",4.20%,8.50%,31.70%,24.10%,7.30%,16.00%,8.10%,87.30%,24.20%,"527,616",88.50%,25.90%,"476,104",87.90%,26.20%,"964,597",88.10%,23.90%,"561,568",84.20%,21.30%,,28.40%,15.30%,11.10%,4.40%,,"32,431","20,884","27,380","31,848","43,293","53,563",,7.20%
Oregon Total Estimate,"364,567",13.60%,29.00%,49.80%,7.60%,"2,746,957",4.20%,6.10%,24.30%,26.20%,8.40%,19.20%,11.60%,89.70%,30.80%,"540,740",90.20%,32.00%,"521,875",88.60%,35.30%,"1,050,116",90.70%,29.50%,"634,226",88.40%,28.30%,,26.50%,17.00%,12.80%,6.30%,,"32,096","20,166","26,075","31,106","42,084","58,547",,6.10%
Pennsylvania Total Estimate,"1,228,166",12.00%,32.30%,43.60%,12.10%,"8,858,865",3.50%,7.10%,36.40%,16.20%,7.90%,17.50%,11.40%,89.40%,29.00%,"1,635,951",91.10%,37.20%,"1,518,192",91.80%,34.40%,"3,570,623",91.40%,28.10%,"2,134,099",83.20%,20.20%,,26.00%,12.40%,9.70%,3.90%,,"37,024","21,183","30,098","35,141","50,017","65,271",,6.50%
Rhode Island Total Estimate,"116,747",11.20%,29.20%,47.50%,12.10%,"725,871",5.70%,8.50%,28.70%,18.40%,8.20%,18.10%,12.30%,85.80%,30.40%,"138,101",89.00%,34.80%,"126,269",90.30%,34.50%,"294,321",87.30%,29.50%,"167,180",77.00%,25.40%,,26.40%,13.00%,10.60%,3.90%,,"37,479","22,770","30,605","35,901","49,218","70,358",,6.80%
South Carolina Total Estimate,"487,869",14.50%,30.90%,46.20%,8.40%,"3,260,929",4.50%,9.30%,30.30%,20.70%,8.80%,16.70%,9.60%,86.10%,26.30%,"618,537",86.90%,27.50%,"603,149",88.50%,29.10%,"1,277,660",87.90%,25.80%,"761,583",80.70%,23.90%,,31.30%,16.50%,11.20%,4.40%,,"31,461","19,107","25,086","31,251","45,253","53,066",,7.00%
South Dakota Total Estimate,"86,794",16.00%,30.60%,46.30%,7.10%,"555,488",3.40%,4.90%,30.60%,22.00%,11.30%,20.00%,7.80%,91.70%,27.80%,"111,603",92.40%,30.60%,"97,015",93.70%,33.10%,"217,516",94.60%,28.20%,"129,354",84.60%,20.50%,,31.40%,13.30%,9.00%,3.70%,,"32,419","20,706","27,443","31,865","40,316","49,632",,5.20%
Tennessee Total Estimate,"631,942",12.90%,35.90%,42.30%,8.80%,"4,425,073",5.40%,8.80%,33.30%,20.50%,6.70%,16.20%,9.10%,85.80%,25.30%,"854,494",89.80%,29.30%,"846,622",89.20%,28.40%,"1,737,144",87.10%,24.70%,"986,813",77.00%,20.00%,,32.00%,16.80%,11.30%,4.60%,,"31,536","19,152","25,517","31,094","43,654","54,313",,6.60%
Texas Total Estimate,"2,753,234",16.30%,31.60%,44.20%,7.80%,"17,087,888",9.00%,8.80%,25.20%,22.50%,6.70%,18.20%,9.60%,82.20%,27.80%,"3,904,730",85.70%,28.80%,"3,660,268",82.40%,30.00%,"6,426,877",82.50%,27.60%,"3,096,013",76.80%,24.30%,,28.50%,15.10%,10.00%,4.50%,,"35,506","20,364","27,038","34,643","51,491","66,552",,6.80%
Utah Total Estimate,"332,619",14.10%,29.20%,50.20%,6.60%,"1,704,734",3.00%,5.60%,23.00%,27.40%,9.90%,20.80%,10.30%,91.40%,31.10%,"436,363",91.40%,29.80%,"387,456",91.60%,33.40%,"585,936",91.50%,30.90%,"294,979",91.10%,30.40%,,20.70%,11.20%,8.10%,4.50%,,"35,451","21,854","29,498","32,155","45,861","65,096",,5.20%
Vermont Total Estimate,"66,473",8.60%,32.10%,46.60%,12.70%,"438,279",2.80%,5.20%,30.70%,18.70%,7.80%,20.90%,14.00%,92.00%,34.90%,"72,896",94.70%,38.50%,"72,290",94.00%,39.10%,"186,438",93.10%,33.60%,"106,655",86.90%,31.80%,,24.50%,11.80%,10.00%,4.40%,,"34,874","24,994","29,753","31,389","42,228","53,258",,5.10%
Virginia Total Estimate,"835,457",10.80%,30.10%,47.00%,12.10%,"5,623,295",4.80%,6.70%,24.60%,19.90%,7.30%,20.90%,15.90%,88.50%,36.70%,"1,165,651",91.80%,39.70%,"1,100,571",90.90%,42.60%,"2,210,227",89.50%,36.30%,"1,146,846",81.10%,28.90%,,23.10%,12.00%,8.60%,3.40%,,"41,086","22,944","29,126","35,780","55,797","76,877",,7.30%
Washington Total Estimate,"674,393",15.20%,31.60%,42.60%,10.60%,"4,784,484",4.00%,5.50%,22.80%,24.50%,10.00%,21.00%,12.10%,90.40%,33.10%,"1,012,757",90.90%,33.60%,"924,373",90.30%,37.10%,"1,854,838",91.20%,32.30%,"992,516",88.70%,30.40%,,23.70%,13.20%,10.40%,4.90%,,"40,180","22,799","31,016","35,409","54,844","70,746",,6.50%
West Virginia Total Estimate,"170,776",14.20%,35.30%,43.60%,6.90%,"1,296,350",5.00%,9.90%,41.10%,18.40%,6.50%,11.80%,7.40%,85.20%,19.20%,"219,419",91.20%,24.40%,"227,673",90.20%,22.20%,"520,203",86.60%,19.10%,"329,055",75.50%,13.70%,,30.30%,14.80%,13.30%,5.50%,,"31,426","20,404","26,671","30,545","40,963","52,574",,5.10%
Wisconsin Total Estimate,"559,900",11.10%,32.00%,46.50%,10.50%,"3,898,162",3.00%,5.70%,31.90%,20.70%,10.30%,18.90%,9.50%,91.40%,28.40%,"732,093",92.70%,33.60%,"693,410",92.60%,33.00%,"1,596,939",92.60%,27.60%,"875,720",86.90%,22.00%,,24.20%,11.10%,9.20%,3.90%,,"36,134","22,276","30,102","33,699","47,027","60,613",,5.30%
Wyoming Total Estimate,"57,427",12.00%,33.00%,48.40%,6.60%,"388,962",2.20%,5.30%,27.40%,27.90%,10.70%,17.90%,8.70%,92.60%,26.60%,"83,555",92.50%,26.70%,"71,119",93.90%,25.90%,"153,956",93.30%,27.10%,"80,332",90.10%,26.00%,,20.10%,11.00%,7.80%,3.40%,,"36,526","25,537","30,662","32,602","43,572","61,174",,6.50%
Puerto Rico Total Estimate,"374,975",11.00%,28.90%,52.50%,7.60%,"2,400,677",16.60%,9.50%,27.90%,12.20%,9.30%,17.40%,7.10%,73.80%,24.40%,"430,490",87.70%,30.70%,"458,266",84.00%,29.40%,"894,910",77.30%,25.70%,"617,011",51.70%,14.50%,,63.50%,48.10%,35.10%,15.30%,,"17,990","10,602","14,524","16,851","24,970","34,807",,6.00%
